RandOrder,ID,Question,Order,Condition,Topic,Value,分類後
67,19,Q11,B,3,彼女の笑顔は,綺麗で魅力的だ,字義
68,16,Q11,B,3,彼女の笑顔は,素晴らしい,字義
69,82,Q11,A,3,彼女の笑顔は,女神のようだ,名詞直喩
70,103,Q11,A,3,彼女の笑顔は,見た目が良く晴れやかだ,字義
71,53,Q11,B,2,彼女の笑顔は,華麗だ,字義
72,45,Q11,B,1,彼女の笑顔は,花が咲いたようだ,その他直喩
73,4,Q12,A,2,彼の心臓は,正確な時計のようだ,名詞直喩
74,18,Q12,A,1,彼の心臓は,規則正しい,字義
75,15,Q12,A,2,彼の心臓は,メトロノームだ,名詞隠喩
76,19,Q12,B,3,彼の心臓は,正確なリズムを刻む,字義
77,3,Q12,B,3,彼の心臓は,メトロノームのようだ,名詞直喩
78,61,Q12,A,2,彼の心臓は,絶えることなく波打っている,その他隠喩
79,81,Q12,A,1,彼の心臓は,定期的なリズムを刻んでいる,字義
80,98,Q12,B,3,彼の心臓は,乾電池式の時計のようだ。,名詞直喩
81,41,Q12,B,1,彼の心臓は,風前の灯火だ,名詞隠喩
82,10,Q12,B,1,彼の心臓は,止まる時が来る,字義
83,8,Q12,A,1,彼の心臓は,健康だ,字義
84,17,Q12,B,1,彼の心臓は,そのうち動かなくなる,字義
85,14,Q12,B,3,彼の心臓は,ビートを刻む,字義
86,103,Q12,A,3,彼の心臓は,規則正しく脈を打ち、いつか停止する,字義
87,6,Q12,B,2,彼の心臓は,いつの日か止まってしまうが正確なのだ,字義
88,26,Q12,A,2,彼の心臓は,電波時計のようだ,名詞直喩
89,77,Q12,A,1,彼の心臓は,滑らかに循環している,字義
90,85,Q12,B,2,彼の心臓は,時計だ,名詞隠喩
91,39,Q12,A,3,彼の心臓は,ネジ仕掛けの時計のようである,名詞直喩
92,53,Q12,B,2,彼の心臓は,今後停止する,字義
93,22,Q12,A,3,彼の心臓は,元気,字義
94,112,Q12,B,2,彼の心臓は,寿命がある,字義
95,34,Q12,A,3,彼の心臓は,メトロノームのようだ。,名詞直喩
96,47,Q12,B,1,彼の心臓は,いずれ終わる,字義
97,11,Q13,A,1,あの麦畑は,サインカーブ,名詞隠喩
98,55,Q13,A,2,あの麦畑は,海原だ,名詞隠喩
99,48,Q13,A,2,あの麦畑は,広く揺れている,字義
100,98,Q13,B,3,あの麦畑は,風に揺れ、ゆったりと、踊っているようだ。,その他直喩
101,18,Q13,A,1,あの麦畑は,躍動している,字義
102,59,Q13,B,2,あの麦畑は,そよそよとはためき、広大だ,字義
103,107,Q13,A,2,あの麦畑は,うねり、広大だ,字義
104,31,Q13,B,3,あの麦畑は,広大な海のようだ,名詞直喩
105,78,Q13,A,3,あの麦畑は,どこまでも鼓動のように揺れた,その他直喩
106,27,Q13,B,2,あの麦畑は,果てしない,字義
107,5,Q13,A,3,あの麦畑は,海の波間のようだ,名詞直喩
108,135,Q13,B,2,あの麦畑は,海のように波打っている,その他直喩
109,116,Q13,A,1,あの麦畑は,揺れている,字義
110,12,Q13,B,3,あの麦畑は,ゆりかごのようだ,名詞直喩
111,104,Q13,A,3,あの麦畑は,海のように波打つ,その他直喩
112,19,Q13,B,3,あの麦畑は,飄々とおしている,それ以外
113,47,Q13,B,1,あの麦畑は,吹かれている,字義
114,21,Q13,A,3,あの麦畑は,風に吹かれて揺れている,字義
115,36,Q13,B,1,あの麦畑は,揺れる,字義
116,108,Q13,B,2,あの麦畑は,黄色い海のようだ,名詞直喩
117,77,Q13,A,1,あの麦畑は,風になびく,字義
118,2,Q13,B,1,あの麦畑は,涼しげだ,字義
119,40,Q13,A,2,あの麦畑は,波のようだ,名詞直喩
120,74,Q13,B,1,あの麦畑は,風にそよぐ,字義
121,61,Q14,A,2,この香水は,大輪の花が咲いたような魅力がある,その他直喩
122,15,Q14,A,2,この香水は,芳香である,字義
123,32,Q14,B,3,この香水は,大勢でにぎわう舞踏会だ,名詞隠喩
124,14,Q14,B,3,この香水は,神秘的だ,字義
125,39,Q14,A,3,この香水は,めくるめくファッションショーを見ているような気になる香りだ,その他直喩
126,83,Q14,A,2,この香水は,蝶のようだ,名詞直喩
127,84,Q14,B,1,この香水は,虹のような香り,その他直喩
128,53,Q14,B,2,この香水は,豪華だ,字義
129,133,Q14,B,2,この香水は,色々な匂いがして、わくわくする,字義
130,18,Q14,A,1,この香水は,花のような香り,その他直喩
131,108,Q14,B,2,この香水は,仮装パーティーのようだ,名詞直喩
132,50,Q14,B,2,この香水は,キラキラ輝くパーティー会場のようなものだ,名詞直喩
133,46,Q14,A,2,この香水は,薔薇のようだ,名詞直喩
134,33,Q14,A,1,この香水は,馨しい,字義
135,47,Q14,B,1,この香水は,いろいろなにおいがする,字義
136,30,Q14,B,3,この香水は,百貨店の化粧品売り場のようだ,名詞直喩
137,69,Q14,B,1,この香水は,豊かで富んでいる,字義
138,96,Q14,A,3,この香水は,品性のある香りがする,字義
139,58,Q14,B,1,この香水は,いろいろな、良いにおいがする,字義
140,88,Q14,B,3,この香水は,あらゆる人を可憐で魅力的にさせる手伝いをするようなアロマだ,それ以外
141,99,Q14,A,1,この香水は,お気に入りだ,字義
142,34,Q14,A,3,この香水は,バラエティに富んでいる。,字義
143,78,Q14,A,3,この香水は,かぐわしく、色彩に富んでいる花束のようだ,その他直喩
144,81,Q14,A,1,この香水は,良い香りがする,字義
145,55,Q15,A,2,彼女の礼儀は,重苦しい,字義
146,57,Q15,A,3,彼女の礼儀は,堅牢だ,その他隠喩
147,91,Q15,B,3,彼女の礼儀は,隙がなく、窮屈で、気が休まらない,字義
148,43,Q15,A,2,彼女の礼儀は,囚人のようだ,名詞直喩
149,12,Q15,B,3,彼女の礼儀は,四面四角だ,その他隠喩
150,36,Q15,B,1,彼女の礼儀は,逞しい,字義
151,107,Q15,A,2,彼女の礼儀は,かしこまっていて、窮屈だ,字義
152,26,Q15,A,2,彼女の礼儀は,張りつめている,字義
153,31,Q15,B,3,彼女の礼儀は,非常に重んじられている,字義
154,75,Q15,A,1,彼女の礼儀は,ブロックだ,名詞隠喩
155,22,Q15,A,3,彼女の礼儀は,おもい,その他隠喩
156,66,Q15,B,2,彼女の礼儀は,正しく、捕らえられる,字義
157,82,Q15,A,3,彼女の礼儀は,鉄の処女のようだ,名詞直喩
158,133,Q15,B,2,彼女の礼儀は,妥協なく、抑制される,字義
159,94,Q15,B,3,彼女の礼儀は,きちんとしている,字義
160,62,Q15,B,1,彼女の礼儀は,シビアだ,字義
161,41,Q15,B,1,彼女の礼儀は,スパルタだ,字義
162,1,Q15,B,1,彼女の礼儀は,律儀だ,字義
163,97,Q15,A,1,彼女の礼儀は,あまりにも丁寧すぎる,字義
164,71,Q15,A,1,彼女の礼儀は,杓子定規だ,その他隠喩
165,50,Q15,B,2,彼女の礼儀は,頑固おやじのようで、動けない,その他直喩
166,11,Q15,A,1,彼女の礼儀は,形式ばっている,字義
167,38,Q15,A,3,彼女の礼儀は,堅物で束縛され厳格,字義
168,124,Q15,B,2,彼女の礼儀は,籠の中にいるようだ,その他直喩
169,64,Q16,A,2,彼女の恋は,ピアノだ,名詞隠喩
170,8,Q16,A,1,彼女の恋は,喜ばしい,字義
171,107,Q16,A,2,彼女の恋は,わくわくして、飛び跳ねる,その他隠喩
172,59,Q16,B,2,彼女の恋は,祝福すべきものであって、小躍りしたくなる,字義
173,54,Q16,B,3,彼女の恋は,はじけている,字義
174,77,Q16,A,1,彼女の恋は,気分が高まる,字義
175,86,Q16,B,1,彼女の恋は,花が咲いたみたいだ,その他直喩
176,36,Q16,B,1,彼女の恋は,あきれる,字義
177,49,Q16,B,3,彼女の恋は,心弾む,その他隠喩
178,35,Q16,B,2,彼女の恋は,花咲いた。,その他隠喩
179,124,Q16,B,2,彼女の恋は,花火のようだ,名詞直喩
180,39,Q16,A,3,彼女の恋は,おいしいポップコーンのようだ,名詞直喩
181,91,Q16,B,3,彼女の恋は,楽観的で、うきうきと、心が躍る,その他隠喩
182,32,Q16,B,3,彼女の恋は,ウキウキと、まるで鍵盤のうえを転がる玉のようで、惹きつけられる,その他直喩
183,51,Q16,A,3,彼女の恋は,打ち上げ花火のようだ,名詞直喩
184,78,Q16,A,3,彼女の恋は,ポップコーンのように飛び跳ね、祝祭のようだ,その他直喩
185,18,Q16,A,1,彼女の恋は,心が弾む,その他隠喩
186,15,Q16,A,2,彼女の恋は,炭酸ラムネのようだ,名詞直喩
187,57,Q16,A,3,彼女の恋は,音楽のようだ,名詞直喩
188,66,Q16,B,2,彼女の恋は,成就する,字義
189,10,Q16,B,1,彼女の恋は,愛くるしい,字義
190,23,Q16,A,1,彼女の恋は,明るい,字義
191,13,Q16,B,1,彼女の恋は,最高,字義
192,83,Q16,A,2,彼女の恋は,ポップコーンのようだ,名詞直喩
193,107,Q17,A,2,この寂しさは,氷のようで、凍える,その他直喩
194,38,Q17,A,3,この寂しさは,冷淡で冷ややかで侘びしい,その他隠喩
195,103,Q17,A,3,この寂しさは,無情で一人ぼっちだ,字義
196,79,Q17,B,3,この寂しさは,ひとりぼっちであり、冬の雪国にいるかのようだ,その他直喩
197,83,Q17,A,2,この寂しさは,冷ややかだ,その他隠喩
198,133,Q17,B,2,この寂しさは,辛く、氷河のようだ,その他直喩
199,10,Q17,B,1,この寂しさは,嫌だ,字義
200,54,Q17,B,3,この寂しさは,耐え難いものだ,字義
201,30,Q17,B,3,この寂しさは,一人で南極にいるみたいだ,その他直喩
202,29,Q17,A,3,この寂しさは,百年冬眠している気分だ,その他隠喩
203,116,Q17,A,1,この寂しさは,孤独,字義
204,58,Q17,B,1,この寂しさは,1人であることをひしひしと感じさせる,字義
205,86,Q17,B,1,この寂しさは,真っ暗闇である,名詞隠喩
206,102,Q17,B,2,この寂しさは,雪の中で来ない人を待っているようだ,その他直喩
207,57,Q17,A,3,この寂しさは,凍てつく夜のようだ,名詞直喩
208,15,Q17,A,2,この寂しさは,極寒だ,名詞隠喩
209,23,Q17,A,1,この寂しさは,切ない,字義
210,77,Q17,A,1,この寂しさは,温もりに乏しい,その他隠喩
211,35,Q17,B,2,この寂しさは,冬のようだ。,名詞直喩
212,112,Q17,B,2,この寂しさは,つらい,字義
213,97,Q17,A,1,この寂しさは,まるで真冬の朝のようだ,名詞直喩
214,98,Q17,B,3,この寂しさは,誰もいない寒い雪の世界に閉じ込められているようだ。,その他直喩
215,90,Q17,A,2,この寂しさは,冷徹だ,字義
216,25,Q17,B,1,この寂しさは,永遠につづくかのようだ,その他直喩
217,99,Q18,A,1,あの男は,屈強な戦士,名詞隠喩
218,80,Q18,A,2,あの男は,餓狼だ,名詞隠喩
219,10,Q18,B,1,あの男は,孤独だ,字義
220,38,Q18,A,3,あの男は, 劇しいでおっかなく単独で行動する,字義
221,78,Q18,A,3,あの男は,恐ろしい魔人のようであり、孤独だ,その他直喩
222,94,Q18,B,3,あの男は,近寄りがたい,字義
223,136,Q18,B,2,あの男は,集団からはみ出て不気味だ,字義
224,48,Q18,A,2,あの男は,豪腕で恐ろしい,字義
225,24,Q18,A,1,あの男は,鋼のようだ,名詞直喩
226,108,Q18,B,2,あの男は,一匹狼のようだ,名詞直喩
227,68,Q18,A,3,あの男は,一匹狼で、かつ威圧感を放っている。,その他隠喩
228,41,Q18,B,1,あの男は,忍者のようだ,名詞直喩
229,44,Q18,B,1,あの男は,単独で動く,字義
230,70,Q18,A,2,あの男は,鬼のようだ,名詞直喩
231,59,Q18,B,2,あの男は,単独で動いており、恐ろしい,字義
232,86,Q18,B,1,あの男は,孤独を愛する,字義
233,98,Q18,B,3,あの男は,自立していて、おそろしさもあり、頼もしい。,字義
234,113,Q18,B,3,あの男は,ロボットのようだ,名詞直喩
235,57,Q18,A,3,あの男は,一匹狼だ,名詞隠喩
236,7,Q18,A,1,あの男は,屈強だ,字義
237,111,Q18,A,1,あの男は,誰にも負けない,字義
238,9,Q18,B,2,あの男は,単独行動をし、恐ろしい,字義
239,107,Q18,A,2,あの男は,強靭で、恐ろしい,字義
240,14,Q18,B,3,あの男は,行動力がある,字義
241,133,Q19,B,2,粉雪は,風に舞い、純白だ,字義
242,4,Q19,A,2,粉雪は,砂糖菓子のようだ,名詞直喩
243,74,Q19,B,1,粉雪は,薄い,字義
244,80,Q19,A,2,粉雪は,綿のみたいだ,それ以外
245,17,Q19,B,1,粉雪は,サラサラとして舞う,字義
246,8,Q19,A,1,粉雪は,優しい,その他隠喩
247,3,Q19,B,3,粉雪は,軽やかに舞う雪兎のようだ,名詞直喩
248,100,Q19,A,3,粉雪は,砂糖のようだ,名詞直喩
249,68,Q19,A,3,粉雪は,風に舞い散り、踏み締めるときめ細かい感触がする。,字義
250,5,Q19,A,3,粉雪は,羽毛みたいだ,名詞直喩
251,44,Q19,B,1,粉雪は,ふわふわだ,字義
252,36,Q19,B,1,粉雪は,重さを感じない,字義
253,14,Q19,B,3,粉雪は,綺麗だ,字義
254,59,Q19,B,2,粉雪は,重さを感じず、銀世界のよう,その他直喩
255,107,Q19,A,2,粉雪は,ふわふわで、雲のようだ,その他直喩
256,27,Q19,B,2,粉雪は,綿毛のようだ,名詞直喩
257,33,Q19,A,1,粉雪は,ふかふかしている,字義
258,37,Q19,B,3,粉雪は,粉のようだ,名詞直喩
259,34,Q19,A,3,粉雪は,繊細だ。,字義
260,9,Q19,B,2,粉雪は,もろく、真っ白だ,字義
261,30,Q19,B,3,粉雪は,かき氷のようだ,名詞直喩
262,55,Q19,A,2,粉雪は,優しく、こまやかだ,その他隠喩
263,77,Q19,A,1,粉雪は,さわるとすぐに溶けてしまいそうなくらい柔和だ,その他隠喩
264,60,Q19,A,1,粉雪は,ふんわりしている,字義
265,79,Q2,B,2,この不安は,うっとうしく、すっきりしない,字義
266,46,Q2,A,1,この不安は,終わらない,字義
267,18,Q2,A,3,この不安は,お先真っ暗だ,その他隠喩
268,56,Q2,A,3,この不安は,曇り空のように晴れない　,その他直喩
269,101,Q2,B,1,この不安は,闇のようだ,名詞直喩
270,71,Q2,A,3,この不安は,払拭できない,字義
271,43,Q2,A,1,この不安は,洞穴のようだ,名詞直喩
272,107,Q2,A,1,この不安は,行方が知れない,字義
273,9,Q2,B,1,この不安は,黒い,その他隠喩
274,4,Q2,A,1,この不安は,暗闇のようだ,名詞直喩
275,91,Q2,B,2,この不安は,影を落として、先が見えない,その他隠喩
276,57,Q2,A,2,この不安は,雨雲の中にいるようだ,その他直喩
277,81,Q2,A,3,この不安は,見通しが悪く、曇っており、不透明だ,その他隠喩
278,44,Q2,B,3,この不安は,長いトンネルのようだ,名詞直喩
279,54,Q2,B,2,この不安は,続く,字義
280,100,Q2,A,2,この不安は,暗い森に迷い込んだよう,その他直喩
281,38,Q2,A,2,この不安は,予測不能で暗雲が立ちこめる,その他隠喩
282,47,Q2,B,3,この不安は,真っ暗で、どんよりして、不明だ,その他隠喩
283,37,Q2,B,2,この不安は,まとわりつく,その他隠喩
284,10,Q2,B,3,この不安は,絶望的だ,字義
285,50,Q2,B,1,この不安は,夜中だ,名詞隠喩
286,108,Q2,B,1,この不安は,トンネルの中にいるようだ,その他直喩
287,69,Q2,B,3,この不安は,霧の中のようだ,その他直喩
288,51,Q2,A,2,この不安は,霧に包まれているようだ,その他直喩
289,60,Q20,A,1,人生は,旅のようだ,名詞直喩
290,27,Q20,B,2,人生は,厳しい,字義
291,26,Q20,A,2,人生は,いばらの道だ,名詞隠喩
292,43,Q20,A,2,人生は,航海のようだ,名詞直喩
293,63,Q20,B,1,人生は,辛いことがある,字義
294,99,Q20,A,1,人生は,スルメだ,名詞隠喩
295,98,Q20,B,3,人生は,壁にぶつかり、リスクを伴い、一瞬では終わらない。,その他隠喩
296,4,Q20,A,2,人生は,曲がりくねった道のようだ,名詞直喩
297,34,Q20,A,3,人生は,山あり谷ありである。,その他隠喩
298,36,Q20,B,1,人生は,苦難がある,字義
299,116,Q20,A,1,人生は,長旅だ,名詞隠喩
300,37,Q20,B,3,人生は,七転八倒,その他隠喩
301,22,Q20,A,3,人生は,苦行,名詞隠喩
302,108,Q20,B,2,人生は,険しい,その他隠喩
303,58,Q20,B,1,人生は,一筋縄にはいかない,その他隠喩
304,94,Q20,B,3,人生は,つらい,字義
305,35,Q20,B,2,人生は,山あり谷ありだ。,その他隠喩
306,66,Q20,B,2,人生は,楽なことばかりではない,字義
307,48,Q20,A,2,人生は,続き危険を伴う,字義
308,44,Q20,B,1,人生は,甘くない,字義
309,7,Q20,A,1,人生は,続く,字義
310,68,Q20,A,3,人生は,険しい山道の続く旅路のようだ。,名詞直喩
311,54,Q20,B,3,人生は,嵐のようだ,名詞直喩
312,100,Q20,A,3,人生は,終わりの見えない冒険だ,名詞隠喩
313,15,Q21,A,3,この大地は,布団のようだ,名詞直喩
314,136,Q21,B,3,この大地は,壮大で母性愛に抱きしめられている,その他隠喩
315,52,Q21,B,1,この大地は,春のようだ,名詞直喩
316,4,Q21,A,3,この大地は,冬の毛布のようだ,名詞直喩
317,95,Q21,A,3,この大地は,母親のようだ,名詞直喩
318,16,Q21,B,1,この大地は,ぬくもりがある,その他隠喩
319,51,Q21,A,1,この大地は,雄大だ,字義
320,12,Q21,B,1,この大地は,我々を包み込んでくれる,その他隠喩
321,102,Q21,B,3,この大地は,母である,名詞隠喩
322,2,Q21,B,2,この大地は,優しい,その他隠喩
323,69,Q21,B,2,この大地は,母だ,名詞隠喩
324,92,Q21,B,3,この大地は,母のよう,名詞直喩
325,96,Q21,A,1,この大地は,どこまでも続いている,字義
326,77,Q21,A,2,この大地は,広大な海のように包容する。,その他直喩
327,101,Q21,B,3,この大地は,豊かだ,字義
328,47,Q21,B,2,この大地は,母体のようだ,名詞直喩
329,18,Q21,A,2,この大地は,巨大で、母の愛のようだ,その他直喩
330,44,Q21,B,2,この大地は,ふかふかの布団のようだ,名詞直喩
331,75,Q21,A,2,この大地は,毛布だ,名詞隠喩
332,7,Q21,A,2,この大地は,広大だ,字義
333,80,Q21,A,3,この大地は,母のように優しい,その他直喩
334,21,Q21,A,1,この大地は,果てしない,字義
335,68,Q21,A,1,この大地は,広大だ。,字義
336,94,Q21,B,1,この大地は,穏やかです,その他隠喩
337,116,Q22,A,2,この景色は,鮮明である,字義
338,89,Q22,A,2,この景色は,写真だ,名詞隠喩
339,100,Q22,A,1,この景色は,絵のようだ,名詞直喩
340,62,Q22,B,2,この景色は,脳に記憶としてインプットされ、煌びやかだ,字義
341,78,Q22,A,1,この景色は,雅やかだ,字義
342,66,Q22,B,3,この景色は,記憶に残り、クリアで、素晴らしい,字義
343,94,Q22,B,1,この景色は,きれいだ,字義
344,65,Q22,A,1,この景色は,すばらしい,字義
345,20,Q22,B,1,この景色は,頭から離れない,その他隠喩
346,10,Q22,B,2,この景色は,素晴らしい,字義
347,56,Q22,A,2,この景色は,色彩豊かだ,字義
348,102,Q22,B,3,この景色は,鮮明な感動の1ページとして私に記憶される,その他隠喩
349,133,Q22,B,3,この景色は,記憶に残り、煌びやかで、綺麗だ,字義
350,108,Q22,B,3,この景色は,忘れられない,字義
351,25,Q22,B,2,この景色は,とても素晴らしい,字義
352,38,Q22,A,1,この景色は, 綺麗だ,字義
353,26,Q22,A,3,この景色は,100万ドルの景色だ,それ以外
354,72,Q22,A,3,この景色は,素晴らしく脳裏にインプットされる。,字義
355,37,Q22,B,1,この景色は,忘れない,字義
356,4,Q22,A,3,この景色は,咲き誇る花のようだ,名詞直喩
357,54,Q22,B,1,この景色は,心に刻まれる,その他隠喩
358,73,Q22,A,3,この景色は,忘れられない,字義
359,60,Q22,A,2,この景色は,ヴィヴィッドだ,字義
360,74,Q22,B,2,この景色は,印象深く、美しい,字義
361,85,Q23,B,3,真理は,暗闇の中の宝石だ,名詞隠喩
362,42,Q23,A,2,真理は,着地点がなく、知ることもできない,その他隠喩
363,32,Q23,B,1,真理は,向こうからは来ない,その他隠喩
364,7,Q23,A,2,真理は,謎めいている,字義
365,46,Q23,A,3,真理は,埋蔵金のようだ,名詞直喩
366,13,Q23,B,2,真理は,見えないもの,字義
367,65,Q23,A,1,真理は,導き出せない,字義
368,2,Q23,B,2,真理は,謎だ,字義
369,61,Q23,A,3,真理は,ゴールもヒントもない迷宮だ,名詞隠喩
370,98,Q23,B,1,真理は,見つかるものだ。,字義
371,92,Q23,B,3,真理は,永遠の旅,名詞隠喩
372,84,Q23,B,2,真理は,複雑である,字義
373,104,Q23,A,1,真理は,永遠の課題,字義
374,26,Q23,A,3,真理は,迷宮入りだ,その他隠喩
375,5,Q23,A,1,真理は,手の届かない所にある,その他隠喩
376,108,Q23,B,3,真理は,闇の中だ,その他隠喩
377,23,Q23,A,2,真理は,未知の世界だ,名詞隠喩
378,54,Q23,B,1,真理は,冒険だ,名詞隠喩
379,112,Q23,B,3,真理は,闇のなか,その他隠喩
380,36,Q23,B,2,真理は,見つけるもので、不可解,字義
381,19,Q23,B,1,真理は,見つけるものだ,字義
382,103,Q23,A,1,真理は,解き明かすことができない,字義
383,48,Q23,A,3,真理は,問い続けていくもの,字義
384,8,Q23,A,2,真理は,理解できない,字義
385,81,Q24,A,2,この孤独は,頼るものがなく、悲しい,字義
386,77,Q24,A,2,この孤独は,人恋しくて苦しい,字義
387,10,Q24,B,2,この孤独は,耐え難い,字義
388,54,Q24,B,1,この孤独は,耐え難いものだ,字義
389,17,Q24,B,2,この孤独は,孤立していてひどい気持ちだ,字義
390,70,Q24,A,3,この孤独は,どん底にいるようだ,その他直喩
391,16,Q24,B,1,この孤独は,無である,名詞隠喩
392,96,Q24,A,1,この孤独は,自分を省みる試練だ,名詞隠喩
393,86,Q24,B,2,この孤独は,暗闇に置き去りにされたようだ,その他直喩
394,9,Q24,B,3,この孤独は,無の世界で、苦しく、悲しい,その他隠喩
395,66,Q24,B,3,この孤独は,空虚で、苦しく、空しい,字義
396,8,Q24,A,2,この孤独は,計り知れない,字義
397,112,Q24,B,3,この孤独は,闇のようだ,名詞直喩
398,94,Q24,B,1,この孤独は,だれにもわからない,字義
399,22,Q24,A,1,この孤独は,むなしい,字義
400,39,Q24,A,1,この孤独は,人恋しくさせる,字義
401,43,Q24,A,3,この孤独は,深海のようだ,名詞直喩
402,7,Q24,A,2,この孤独は,苦しい,字義
403,82,Q24,A,1,この孤独は,哀しい,字義
404,50,Q24,B,3,この孤独は,一人砂漠に取り残されたようなものだ,その他直喩
405,25,Q24,B,2,この孤独は,永遠に続くかのようだ,その他直喩
406,72,Q24,A,3,この孤独は,宇宙空間に置いてきぼりをされたよう。,その他直喩
407,26,Q24,A,3,この孤独は,荒野のようだ,名詞直喩
408,37,Q24,B,1,この孤独は,無常だ,字義
409,113,Q25,B,1,彼女の恋愛は,狂おしい,字義
410,82,Q25,A,1,彼女の恋愛は,太陽のようだ,名詞直喩
411,39,Q25,A,1,彼女の恋愛は,燃え上がる,その他隠喩
412,111,Q25,A,2,彼女の恋愛は,一気に思いが盛り上がり、そのまま続く,字義
