Order_new,ID,Question,Condition,Topic,Value,分類後
111,116,Q1,1,彼女の皮肉は,痛烈だ,字義
112,117,Q1,1,彼女の皮肉は,きつい,字義
113,123,Q1,3,彼女の皮肉は,ナイフのようで、心を深くえぐる,その他直喩
114,127,Q1,3,彼女の皮肉は,傷を抉って、切り裂き、打ちのめしてくる,その他隠喩
115,1,Q10,2,このつららは,透き通っている,字義
116,2,Q10,2,このつららは,綺麗だ,字義
117,3,Q10,2,このつららは,ガラスのようだ,名詞直喩
118,4,Q10,2,このつららは,ガラスのようだ,名詞直喩
119,5,Q10,2,このつららは,ガラスのようだ,名詞直喩
120,6,Q10,3,このつららは,神々しい,字義
121,7,Q10,1,このつららは,ガラスのようだ,名詞直喩
122,8,Q10,2,このつららは,ガラスのようだ,名詞直喩
123,9,Q10,3,このつららは,素敵で儚い,字義
124,10,Q10,3,このつららは,芸術的だ,字義
125,11,Q10,1,このつららは,透き通るようだ,字義
126,12,Q10,1,このつららは,見入ってしまう,字義
127,13,Q10,2,このつららは,宝石のようだ,名詞直喩
128,14,Q10,1,このつららは,キラキラまぶしい,字義
129,15,Q10,1,このつららは,ガラス細工だ,名詞隠喩
130,16,Q10,1,このつららは,凛としている,字義
131,17,Q10,3,このつららは,ガラスのようだ,名詞直喩
132,18,Q10,2,このつららは,透き通るような美しさだ,字義
133,19,Q10,3,このつららは,本当にきれいだ。,字義
134,20,Q10,3,このつららは,ガラス細工のようだ,名詞直喩
135,21,Q10,3,このつららは,ガラス細工のようだ,名詞直喩
136,22,Q10,2,このつららは,宝石のようだ,名詞直喩
137,23,Q10,3,このつららは,細く輝いている,字義
138,24,Q10,3,このつららは,ガラス細工のようだ,名詞直喩
139,25,Q10,2,このつららは,水晶のようだ,名詞直喩
140,26,Q10,1,このつららは,風情がある,字義
141,27,Q10,3,このつららは,儚い,字義
142,28,Q10,1,このつららは,綺麗だ,字義
143,29,Q10,2,このつららは,きれいに凍っている,字義
144,30,Q10,1,このつららは,きれいだ,字義
145,31,Q10,3,このつららは,もろい,字義
146,32,Q10,2,このつららは,水晶のようだ,名詞直喩
147,33,Q10,2,このつららは,きれいで色がない,字義
148,34,Q10,3,このつららは,儚く脆い,字義
149,35,Q10,2,このつららは,水晶のようだ,名詞直喩
150,36,Q10,3,このつららは,ダイヤモンドのようだ,名詞直喩
151,37,Q10,2,このつららは,汚れがなく透き通っている,字義
152,38,Q10,3,このつららは,彫刻のようだ,名詞直喩
153,39,Q10,1,このつららは,宝石のようだ,名詞直喩
154,40,Q10,1,このつららは,綺麗だ,字義
155,41,Q10,3,このつららは,キラキラ光っている。,字義
156,42,Q10,2,このつららは,ガラスだ,名詞隠喩
157,43,Q10,1,このつららは,輝いている,字義
158,44,Q10,2,このつららは,幻想的だ。,字義
159,45,Q10,2,このつららは,綺麗で、透き通っている,字義
160,46,Q10,2,このつららは,透きとおるようだ,字義
161,47,Q10,1,このつららは,可憐である,字義
162,48,Q10,1,このつららは,宝石のよう,名詞直喩
163,49,Q10,1,このつららは,水晶のようだ,名詞直喩
164,50,Q10,1,このつららは,神秘的だ,字義
165,51,Q10,1,このつららは,立派だ,字義
166,52,Q10,3,このつららは,芸術的だ,字義
167,53,Q10,3,このつららは,ガラス細工のようだ,名詞直喩
168,54,Q10,2,このつららは,綺麗で透き通っている,字義
169,55,Q10,3,このつららは,きれいだ,字義
170,56,Q10,1,このつららは,素敵だ,字義
171,57,Q10,1,このつららは,目を惹きつける,その他隠喩
172,58,Q10,1,このつららは,芸術のようだ,名詞直喩
173,59,Q10,2,このつららは,宝石のようだ,名詞直喩
174,60,Q10,3,このつららは,飴細工のようだ,名詞直喩
175,61,Q10,1,このつららは,最高にきれい,字義
176,62,Q10,2,このつららは,結晶のようだ,名詞直喩
177,63,Q10,3,このつららは,水晶のようだ,名詞直喩
178,64,Q10,1,このつららは,綺麗だ,字義
179,65,Q10,3,このつららは,ガラス細工のようだ,名詞直喩
180,66,Q10,1,このつららは,宝石だ,名詞隠喩
181,67,Q10,2,このつららは,きれいで、透き通っている,字義
182,68,Q10,2,このつららは,水晶のようだ。,名詞直喩
183,69,Q10,2,このつららは,きらきら輝いている。,字義
184,70,Q10,2,このつららは,純真な乙女のようだ,名詞直喩
185,71,Q10,3,このつららは,氷の芸術だ,名詞隠喩
186,72,Q10,3,このつららは,美しく、はかない。,字義
187,73,Q10,1,このつららは,綺麗だ,字義
188,74,Q10,1,このつららは,宝石のようだ,名詞直喩
189,75,Q10,3,このつららは,とても綺麗で飴細工のようだ,名詞直喩
190,76,Q10,2,このつららは,透けるほどきれいだ,字義
191,77,Q10,3,このつららは,ガラスのように綺麗,その他直喩
192,78,Q10,2,このつららは,水晶のようだ,名詞直喩
193,79,Q10,1,このつららは,剣のように鋭い,その他直喩
194,80,Q10,2,このつららは,綺麗で透き通っている,字義
195,81,Q10,1,このつららは,綺麗だ,字義
196,82,Q10,3,このつららは,綺麗で透き通っており、きめ細かい,字義
197,83,Q10,2,このつららは,綺麗でガラスのようだ,名詞直喩
198,84,Q10,3,このつららは,キラキラして、透き通って、デリケートだ,字義
199,85,Q10,1,このつららは,きれいだ,字義
200,86,Q10,2,このつららは,向こうを見透かせる,字義
201,87,Q10,2,このつららは,水晶のようだ,名詞直喩
202,88,Q10,3,このつららは,バカラグラスのようだ,名詞直喩
203,89,Q10,2,このつららは,輝くばかりで、透き通っている,字義
204,90,Q10,1,このつららは,神秘的だ,字義
205,91,Q10,2,このつららは,ガラスのようだ,名詞直喩
206,92,Q10,1,このつららは,芸術だ,名詞隠喩
207,93,Q10,1,このつららは,きれいだ,字義
208,94,Q10,3,このつららは,ガラスのようだ,名詞直喩
209,95,Q10,3,このつららは,ガラス細工のようだ,名詞直喩
210,96,Q10,2,このつららは,宝石のようだ,名詞直喩
211,97,Q10,3,このつららは,きれいで、透き通っていて、デリケートだ,字義
212,98,Q10,3,このつららは,飴細工のようだ,名詞直喩
213,99,Q10,3,このつららは,ガラス細工だ,名詞隠喩
214,100,Q10,3,このつららは,透き通ったガラス細工のようだ,名詞直喩
215,101,Q10,2,このつららは,大きく透き通っている,字義
216,102,Q10,3,このつららは,綺麗で、透き通っていて、触れただけで壊れてしまいそう,字義
217,103,Q10,2,このつららは,綺麗で透き通っている,字義
218,104,Q10,1,このつららは,宝石のようだ,名詞直喩
219,105,Q10,2,このつららは,宝石のようだ,名詞直喩
220,106,Q10,3,このつららは,細く透き通っていて弱弱しい,字義
221,107,Q10,1,このつららは,可憐だ,字義
222,108,Q10,1,このつららは,ガラスのようだ,名詞直喩
223,109,Q10,1,このつららは,透き通っている,字義
224,111,Q10,1,このつららは,綺麗だ,字義
225,116,Q10,1,このつららは,可憐だ,字義
226,117,Q10,1,このつららは,宝石のようだ,名詞直喩
227,123,Q10,3,このつららは,きれいで、透明感があり、宝石のようだ,その他直喩
228,127,Q10,3,このつららは,麗しく、澄んでいて、きめが細かい,字義
229,1,Q11,3,あの雨雲は,どんよりしている,字義
230,2,Q11,3,あの雨雲は,あらしい,それ以外
231,3,Q11,3,あの雨雲は,深海のようだ,名詞直喩
232,4,Q11,3,あの雨雲は,重苦しい,字義
233,5,Q11,3,あの雨雲は,陰鬱な雰囲気だ,字義
234,6,Q11,1,あの雨雲は,濁ってる,字義
235,7,Q11,2,あの雨雲は,暗闇だ,名詞隠喩
236,8,Q11,3,あの雨雲は,重苦しい,字義
237,9,Q11,1,あの雨雲は,重苦しい,字義
238,10,Q11,1,あの雨雲は,怪しい,字義
239,11,Q11,2,あの雨雲は,薄暗い,字義
240,12,Q11,2,あの雨雲は,立ち込めている,字義
241,13,Q11,3,あの雨雲は,暗黒のようだ,名詞直喩
242,14,Q11,2,あの雨雲は,鉛色だ,字義
243,15,Q11,2,あの雨雲は,どんよりしている,字義
244,16,Q11,2,あの雨雲は,どんよりとしている,字義
245,17,Q11,1,あの雨雲は,よどんでいる,字義
246,18,Q11,3,あの雨雲は,薄暗く黒も混ざっている,字義
247,19,Q11,1,あの雨雲は,どんよりしている。,字義
248,20,Q11,1,あの雨雲は,どんよりしている,字義
249,21,Q11,1,あの雨雲は,色がグレーだ,字義
250,22,Q11,3,あの雨雲は,奈落のようだ,名詞直喩
251,23,Q11,1,あの雨雲は,グレーだ,字義
252,24,Q11,1,あの雨雲は,暗い,字義
253,25,Q11,3,あの雨雲は,煙のようだ,名詞直喩
254,26,Q11,2,あの雨雲は,嵐の前触れだ,字義
255,27,Q11,1,あの雨雲は,どんよりしている,字義
256,28,Q11,2,あの雨雲は,暗闇のようだ,名詞直喩
257,29,Q11,3,あの雨雲は,もうすぐ降りそうだ,字義
258,30,Q11,2,あの雨雲は,今にも雨が降りそうだ,字義
259,31,Q11,1,あの雨雲は,暗い,字義
260,32,Q11,3,あの雨雲は,薄暗く重い,字義
261,33,Q11,3,あの雨雲は,どよんとしている,字義
262,34,Q11,1,あの雨雲は,どんよりしている,字義
263,35,Q11,3,あの雨雲は,暗黒の世界のようだ,名詞直喩
264,36,Q11,1,あの雨雲は,暗幕のようだ,名詞直喩
265,37,Q11,3,あの雨雲は,真っ暗でそして真っ黒,字義
266,38,Q11,1,あの雨雲は,ねずみのようだ,名詞直喩
267,39,Q11,2,あの雨雲は,どんよりしている,字義
268,40,Q11,2,あの雨雲は,夜のようだ,名詞直喩
269,41,Q11,1,あの雨雲は,くすんだ色をしている。,字義
270,42,Q11,3,あの雨雲は,薄暗い,字義
271,43,Q11,2,あの雨雲は,恐ろしい,字義
272,44,Q11,3,あの雨雲は,怪しい。,字義
273,45,Q11,3,あの雨雲は,不穏で、怪しい,字義
274,46,Q11,3,あの雨雲は,どす黒い,字義
275,47,Q11,2,あの雨雲は,どんよりしている,字義
276,48,Q11,2,あの雨雲は,重苦しい,字義
277,49,Q11,2,あの雨雲は,重々しい,字義
278,50,Q11,2,あの雨雲は,濃い鉛色だ,字義
279,51,Q11,2,あの雨雲は,どす黒い,字義
280,52,Q11,1,あの雨雲は,今にも降り出しそうだ,字義
281,53,Q11,1,あの雨雲は,不安だ,字義
282,54,Q11,3,あの雨雲は,どんよりとしている,字義
283,55,Q11,1,あの雨雲は,グレーだ,字義
284,56,Q11,2,あの雨雲は,薄墨色だ,字義
285,57,Q11,2,あの雨雲は,重苦しい,字義
286,58,Q11,2,あの雨雲は,どんよりして陰鬱だ,字義
287,59,Q11,3,あの雨雲は,まるで地獄のようだ,名詞直喩
288,60,Q11,1,あの雨雲は,今にも雨を降らせそうだ,字義
289,61,Q11,2,あの雨雲は,どす黒い,字義
290,62,Q11,3,あの雨雲は,世界の終わりのようだ,名詞直喩
291,63,Q11,1,あの雨雲は,アスファルトのようだ,名詞直喩
292,64,Q11,2,あの雨雲は,今にも雨が降れそうだ,それ以外
293,65,Q11,1,あの雨雲は,燃えカスのようだ,名詞直喩
294,66,Q11,2,あの雨雲は,闇だ,名詞隠喩
295,67,Q11,3,あの雨雲は,濁った色で、どんよりしていて、墨のような色だ,その他直喩
296,68,Q11,3,あの雨雲は,墨絵のようだ。,名詞直喩
297,69,Q11,3,あの雨雲は,自分の汚い心のようだ。,名詞直喩
298,70,Q11,3,あの雨雲は,憂鬱で悲しくさせる,字義
299,71,Q11,1,あの雨雲は,降りそうだ,字義
300,72,Q11,1,あの雨雲は,今にも雨を降らせる。,字義
301,73,Q11,2,あの雨雲は,どんよりしている,字義
302,74,Q11,2,あの雨雲は,憂鬱だ,字義
303,75,Q11,1,あの雨雲は,どんよりしている,字義
304,76,Q11,3,あの雨雲は,今にも雨が降ってきそうだ,字義
305,77,Q11,1,あの雨雲は,薄暗い,字義
306,78,Q11,3,あの雨雲は,漆黒だ,字義
307,79,Q11,2,あの雨雲は,気分が滅入る,字義
308,80,Q11,3,あの雨雲は,鼠色でどんよりしている,字義
309,81,Q11,2,あの雨雲は,陰鬱だ,字義
310,82,Q11,1,あの雨雲は,薄暗い,字義
311,83,Q11,3,あの雨雲は,深海のように真っ暗でどんよりしている,その他直喩
312,84,Q11,1,あの雨雲は,くすんでいる,字義
313,85,Q11,2,あの雨雲は,暗灰色だ,字義
314,86,Q11,3,あの雨雲は,どんよりしている,字義
315,87,Q11,3,あの雨雲は,重苦しい気分のようだ,名詞直喩
316,88,Q11,1,あの雨雲は,くすんでいる,字義
317,89,Q11,3,あの雨雲は,薄墨色で、どんより薄暗く闇のようだ,その他直喩
318,90,Q11,2,あの雨雲は,ドブネズミのようだ,名詞直喩
319,91,Q11,3,あの雨雲は,暗闇のようだ,名詞直喩
320,92,Q11,2,あの雨雲は,薄墨の様だ,名詞直喩
321,93,Q11,2,あの雨雲は,光を閉ざす,字義
322,94,Q11,1,あの雨雲は,薄暗い,字義
323,95,Q11,1,あの雨雲は,鉛だ,名詞隠喩
324,96,Q11,3,あの雨雲は,どんよりしている,字義
325,97,Q11,1,あの雨雲は,グレーだ,字義
326,98,Q11,1,あの雨雲は,ネズミのようだ,名詞直喩
327,99,Q11,1,あの雨雲は,煙のようだ,名詞直喩
328,100,Q11,1,あの雨雲は,鉛のような重苦しい色をしている,その他直喩
329,101,Q11,3,あの雨雲は,光を通さない,字義
330,102,Q11,1,あの雨雲は,グレーだ,字義
331,103,Q11,3,あの雨雲は,漆黒の暗闇だ,名詞隠喩
332,104,Q11,2,あの雨雲は,噴煙のようだ,名詞直喩
333,105,Q11,3,あの雨雲は,重苦しい,字義
334,106,Q11,1,あの雨雲は,ねずみのような色だ,名詞直喩
335,107,Q11,2,あの雨雲は,ダークグレーだ,字義
336,108,Q11,2,あの雨雲は,煙のようだ,名詞直喩
337,109,Q11,2,あの雨雲は,層が厚い,字義
338,111,Q11,2,あの雨雲は,ダークグレーだ,字義
339,116,Q11,2,あの雨雲は,黒く、淀んでいる,字義
340,117,Q11,2,あの雨雲は,重くるしい,字義
341,123,Q11,1,あの雨雲は,ダークだ,字義
342,127,Q11,1,あの雨雲は,よどんでいる,字義
343,1,Q12,3,この建物は,豆腐のようだ,名詞直喩
344,2,Q12,3,この建物は,不安定な,字義
345,3,Q12,3,この建物は,豆腐のようだ,名詞直喩
346,4,Q12,3,この建物は,豆腐のようだ,名詞直喩
347,5,Q12,3,この建物は,壊れやすい,字義
348,6,Q12,1,この建物は,ハリボテである,名詞隠喩
349,7,Q12,2,この建物は,豆腐のようだ,名詞直喩
350,8,Q12,3,この建物は,角砂糖のようだ,名詞直喩
351,9,Q12,1,この建物は,年季が入っている,字義
352,10,Q12,1,この建物は,危険だ,字義
353,11,Q12,2,この建物は,氷のようだ,名詞直喩
354,12,Q12,2,この建物は,四角いがぜい弱だ,字義
355,13,Q12,3,この建物は,髪の箱のようだ,名詞直喩
356,14,Q12,2,この建物は,壊れそうだ,字義
357,15,Q12,2,この建物は,豆腐のようだ,名詞直喩
358,16,Q12,2,この建物は,がたが来ている,字義
359,17,Q12,1,この建物は,危うい,字義
360,18,Q12,3,この建物は,弱く白くて四角い形状だ,字義
361,19,Q12,1,この建物は,危険だ。,字義
362,20,Q12,1,この建物は,崩れそうだ,字義
363,21,Q12,1,この建物は,壊れやすい,字義
364,22,Q12,3,この建物は,豆腐のようだ,名詞直喩
365,23,Q12,1,この建物は,弱い,字義
366,24,Q12,1,この建物は,倒壊の危険性がある,字義
367,25,Q12,3,この建物は,豆腐のようだ,名詞直喩
368,26,Q12,2,この建物は,古い,字義
369,27,Q12,1,この建物は,危険だ,字義
370,28,Q12,2,この建物は,老化していて四角い,字義
371,29,Q12,3,この建物は,壊れそうで危ない,字義
372,30,Q12,2,この建物は,壊れやすく、長方形だ,字義
373,31,Q12,1,この建物は,繊細だ,字義
374,32,Q12,3,この建物は,豆腐のようだ,名詞直喩
375,33,Q12,3,この建物は,無機質で壊れやすい,字義
376,34,Q12,1,この建物は,崩れやすい,字義
377,35,Q12,3,この建物は,角砂糖のようだ,名詞直喩
378,36,Q12,1,この建物は,ボロボロだ,字義
379,37,Q12,3,この建物は,貧相で正方形で真っ白,字義
380,38,Q12,1,この建物は,ガラスのようだ,名詞直喩
381,39,Q12,2,この建物は,豆腐のようだ,名詞直喩
382,40,Q12,2,この建物は,角砂糖のようだ,名詞直喩
383,41,Q12,1,この建物は,砂のようだ。,名詞直喩
384,42,Q12,3,この建物は,固い,字義
385,43,Q12,2,この建物は,角ばって脆弱だ,字義
386,44,Q12,3,この建物は,劣化している。,字義
387,45,Q12,3,この建物は,脆弱で、角ばっており、日に焼けている,字義
388,46,Q12,3,この建物は,ハリボテだ,名詞隠喩
389,47,Q12,2,この建物は,朽ち果てそうだ,字義
390,48,Q12,2,この建物は,角砂糖のよう,名詞直喩
391,49,Q12,2,この建物は,崩れやすい,字義
392,50,Q12,2,この建物は,強度が低く、4角形だ,字義
393,51,Q12,2,この建物は,段ボールのようだ,名詞直喩
394,52,Q12,1,この建物は,壊れやすい,字義
395,53,Q12,1,この建物は,張り子だ,名詞隠喩
396,54,Q12,3,この建物は,安全性が低い立方体で、カラフルではない,字義
397,55,Q12,1,この建物は,倒れそうだ,字義
398,56,Q12,2,この建物は,壊れやすく、矩形だ,字義
399,57,Q12,2,この建物は,硝子の箱だ,名詞隠喩
400,58,Q12,2,この建物は,貧弱で、角ばっている,字義
401,59,Q12,3,この建物は,やわらかい豆腐のようだ,名詞直喩
402,60,Q12,1,この建物は,脆弱だ,字義
403,61,Q12,2,この建物は,ボロボロで、正方形,字義
404,62,Q12,3,この建物は,角砂糖のようだ,名詞直喩
405,63,Q12,1,この建物は,スポンジのようだ,名詞直喩
406,64,Q12,2,この建物は,危険,字義
407,65,Q12,1,この建物は,ウエハースのようだ,名詞直喩
408,66,Q12,2,この建物は,ケーキだ,名詞隠喩
409,67,Q12,3,この建物は,丈夫でなく、四つの角があり、雪のような色だ,その他直喩
410,68,Q12,3,この建物は,角砂糖のようだ。,名詞直喩
411,69,Q12,3,この建物は,砂の城のようだ。,名詞直喩
412,70,Q12,3,この建物は,とても不安定で倒れそうだ,字義
413,71,Q12,1,この建物は,崩れそうだ,字義
414,72,Q12,1,この建物は,壊れやすい。,字義
415,73,Q12,2,この建物は,豆腐のようだ,名詞直喩
416,74,Q12,2,この建物は,豆腐のようだ,名詞直喩
417,75,Q12,1,この建物は,今にも崩れそうだ,字義
418,76,Q12,3,この建物は,四角形で白色で繊細である,字義
419,77,Q12,1,この建物は,強度不足,字義
420,78,Q12,3,この建物は,柔らかい豆腐のようだ,名詞直喩
421,79,Q12,2,この建物は,崩れそうだ,字義
422,80,Q12,3,この建物は,四角形で雪のように白く壊れやすい,その他隠喩
423,81,Q12,2,この建物は,脆弱で、箱型だ,字義
424,82,Q12,1,この建物は,いまにも倒壊しそうだ,字義
425,83,Q12,3,この建物は,崩れやすく、角砂糖のようだ,その他直喩
426,84,Q12,1,この建物は,危うい,字義
427,85,Q12,2,この建物は,角砂糖のようだ,名詞直喩
428,86,Q12,3,この建物は,紙でできてるようだ,その他直喩
429,87,Q12,3,この建物は,角砂糖のようだ,名詞直喩
430,88,Q12,1,この建物は,脆弱だ,字義
431,89,Q12,3,この建物は,崩れやすく、スクエアで明るい,字義
432,90,Q12,2,この建物は,砂上の箱だ,名詞隠喩
433,91,Q12,3,この建物は,豆腐のようだ,名詞直喩
434,92,Q12,2,この建物は,角砂糖だ,名詞隠喩
435,93,Q12,2,この建物は,豆腐のようだ,名詞直喩
436,94,Q12,1,この建物は,倒壊する可能性がある,字義
437,95,Q12,1,この建物は,砂のようだ,名詞直喩
438,96,Q12,3,この建物は,豆腐のようだ,名詞直喩
439,97,Q12,1,この建物は,弱い,字義
440,98,Q12,1,この建物は,砂の城のようだ,名詞直喩
441,99,Q12,1,この建物は,砂の山だ,名詞隠喩
442,100,Q12,1,この建物は,今にも崩れ落ちそうだ,字義
443,101,Q12,3,この建物は,画用紙のように白く、今にも倒れそう,その他直喩
444,102,Q12,1,この建物は,壊れやすい,字義
445,103,Q12,3,この建物は,崩れやすく、箱型で、何色に染まっていない,字義
